31Knots
5th PROJEKT
65daysofstatic
90 Day Men
A Minor Forest
Acidman
Adebisi Shank
Ahleuchatistas
American Football
And So I Watch You From Afar
August Moon
Autoclave
Autolux
Battles
Black Pus
Blakfish
Breadwinner
By the End of Tonight
Bats
The Cancer Conspiracy
Canvas Solaris
Chavez
Cheer-Accident
Circus Lupus
Collections of Colonies of Bees
Colossamite
Crain
Craw
Damiera
Dance Club Massacre[1]
Dazzling Killmen
Dianogah
The Dismemberment Plan
Don Caballero
Drive Like Jehu
Dutch Uncles
Ebu Gogo
The Edmund Fitzgerald
El Ten Eleven
El Grupo Nuevo de Omar Rodriguez Lopez
Electro Quarterstaff
Everyoned
Extol
Extra Life
Everything Everything
Facing New York
The Fall of Troy
Fang Island
Faraquet
Fear Before
Fiasco
Foals(disputed)
The Fucking Champs
Gatsbys American Dream
Ghosts and Vodka
Heavy Vegetable
Hella
Holy Fuck
Hot Club de Paris
If Lucy Fell
June of 44
Joan of Arc
Keelhaul
kimono
Lite
Look Mexico
Maserati
Make Believe
Maps & Atlases
The Mars Volta
Maybeshewill
The Mercury Program
Minus the Bear
Moneen
My Disco
Meet Me In St Louis
Nekropsi
Nomeansno
The Number Twelve Looks Like You
On the Might of Princes
One Step Shift
Other Men
Owls
OXES
Pattern Is Movement
Paul Newman
Pele
Piglet
Pivot
Polvo
the pAper chAse
Public Relations Exercise
Protest the Hero
The Redneck Manifesto
Rhythm of Black Lines
Roadside Monument
Rodan
Rumah Sakit
Rolo Tomassi
Roo
Russian Circles
Shake Ray Turbine
Sharks Keep Moving
Shellac
Shiner
Shipping News
Shorty
Sleepytime Gorilla Museum
Sleeping People
Slint
So Many Dynamos
Speaking Canaries
Sweep the Leg Johnny
Tabula Rasa
Tera Melos
These Arms Are Snakes
Thingy
This Town Needs Guns
Time of Orchids
Toe
Tubelord
Turing Machine
Ui
Unwed Sailor
Unwound
Uphollow
U.S. Maple
Uzeda
Vessels
We Are the Music Makers
We Be the Echo
We Versus The Shark
Yona-Kit
Youthmovie Soundtrack Strategies
Yukon
Yourcodenameis:Milo
Zazen Boys
Zach Hill
Zu
